Time elapsed (hh:mm:ss): 07:10:16
Number of models trained: 60
Average time per model (hh:mm:ss): 00:07:10

Parameters: 
Iters per model = 5
First layer size options = 5
Second layer size options = [3, 6, 9]
Learning rate options = 0.1
Regularization parameter options = [1e-07, 1e-08, 1e-09, 1e-10]
Noise desviation options = [0.05, 0.08, 0.1, 0.12, 0.15]
Max epochs = 4000

Best case average mse:  0.007098681014031172 | first_layer_size:  5 | second_layer_size:  3 | learning_rate:  0.1 | reg_parameter:  1e-08 | noise_desviation:  0.08 | average_training_time:  459.8059992313385 | average_number_of_epochs:  4000.0
Best case average mse:  0.008293218538165092 | first_layer_size:  5 | second_layer_size:  3 | learning_rate:  0.1 | reg_parameter:  1e-07 | noise_desviation:  0.08 | average_training_time:  473.7663502693176 | average_number_of_epochs:  4000.0
Best case average mse:  0.007098681014031172 | first_layer_size:  5 | second_layer_size:  3 | learning_rate:  0.1 | reg_parameter:  1e-08 | noise_desviation:  0.08 | average_training_time:  459.8059992313385 | average_number_of_epochs:  4000.0
Best case average mse:  0.007997411210089922 | first_layer_size:  5 | second_layer_size:  3 | learning_rate:  0.1 | reg_parameter:  1e-09 | noise_desviation:  0.08 | average_training_time:  442.1165000915527 | average_number_of_epochs:  4000.0
Best case average mse:  0.011050756648182869 | first_layer_size:  5 | second_layer_size:  3 | learning_rate:  0.1 | reg_parameter:  1e-10 | noise_desviation:  0.08 | average_training_time:  406.96439237594603 | average_number_of_epochs:  4000.0
Best case average mse:  0.009768411703407764 | first_layer_size:  5 | second_layer_size:  6 | learning_rate:  0.1 | reg_parameter:  1e-07 | noise_desviation:  0.08 | average_training_time:  421.53945808410646 | average_number_of_epochs:  4000.0
Best case average mse:  0.009799746517091989 | first_layer_size:  5 | second_layer_size:  6 | learning_rate:  0.1 | reg_parameter:  1e-08 | noise_desviation:  0.08 | average_training_time:  425.6474277973175 | average_number_of_epochs:  4000.0
Best case average mse:  0.008461650833487511 | first_layer_size:  5 | second_layer_size:  6 | learning_rate:  0.1 | reg_parameter:  1e-09 | noise_desviation:  0.08 | average_training_time:  430.54943747520446 | average_number_of_epochs:  4000.0
Best case average mse:  0.008369123563170433 | first_layer_size:  5 | second_layer_size:  6 | learning_rate:  0.1 | reg_parameter:  1e-10 | noise_desviation:  0.08 | average_training_time:  425.13061294555666 | average_number_of_epochs:  4000.0
Best case average mse:  0.009307299554347993 | first_layer_size:  5 | second_layer_size:  9 | learning_rate:  0.1 | reg_parameter:  1e-07 | noise_desviation:  0.08 | average_training_time:  421.3501734256744 | average_number_of_epochs:  4000.0
Best case average mse:  0.008513089176267386 | first_layer_size:  5 | second_layer_size:  9 | learning_rate:  0.1 | reg_parameter:  1e-08 | noise_desviation:  0.08 | average_training_time:  419.20163974761965 | average_number_of_epochs:  4000.0
Best case average mse:  0.010721435397863388 | first_layer_size:  5 | second_layer_size:  9 | learning_rate:  0.1 | reg_parameter:  1e-09 | noise_desviation:  0.08 | average_training_time:  411.03185787200925 | average_number_of_epochs:  4000.0
Best case average mse:  0.01055525355041027 | first_layer_size:  5 | second_layer_size:  9 | learning_rate:  0.1 | reg_parameter:  1e-10 | noise_desviation:  0.08 | average_training_time:  424.5975894451141 | average_number_of_epochs:  4000.0
